E42Identifier_id	permalink	type	label_it	label_en
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq265/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq265/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 265	Inventory number RDq 265
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq150/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq150/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 150	Inventory number RDq 150
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq71/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq71/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1958 2	Shelfmark FR.A QUADERNI.1 1958 2
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq68/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq68/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 68	Inventory number RDq 68
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq126/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq126/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1960 14	Shelfmark FR.A QUADERNI.1 1960 14
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1969/rdq258/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1969/rdq258/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1969 10	Shelfmark FR.A QUADERNI.1 1969 10
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq281/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq281/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1972 [08] 	Shelfmark FR.A QUADERNI.1 1972 [08] 
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq144/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq144/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1961 13	Shelfmark FR.A QUADERNI.1 1961 13
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1967/rdq230/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1967/rdq230/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1967 4	Shelfmark FR.A QUADERNI.1 1967 4
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq211/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 211	Inventory number RDq 211
